FOV,Round,Channel,Spot Count
X19_Y10,2,Alexa_647,544
X19_Y10,2,Atto_490LS,539
X19_Y10,3,Atto_425,684
X19_Y10,3,DAPI,216
X19_Y10,3,Alexa_488,536
X19_Y10,3,Alexa_568,163
X19_Y10,3,Alexa_647,360
X19_Y10,3,Atto_490LS,578
X19_Y10,4,Atto_425,2363
X19_Y10,4,DAPI,212
X19_Y10,4,Alexa_488,237
X19_Y10,4,Alexa_568,530
X19_Y10,4,Alexa_647,102
X19_Y10,4,Atto_490LS,589
FOV,Round,Channel,Spot Count
X18_Y10,1,Atto_425,3790
X18_Y10,1,DAPI,271
X18_Y10,1,Alexa_488,1000
X18_Y10,1,Alexa_568,554
X18_Y10,1,Alexa_647,866
X18_Y10,1,Atto_490LS,966
X18_Y10,2,Atto_425,736
X18_Y10,2,DAPI,334
X18_Y10,2,Alexa_488,475
X18_Y10,2,Alexa_568,642
X18_Y10,2,Alexa_647,725
X18_Y10,2,Atto_490LS,889
X18_Y10,3,Atto_425,607
X18_Y10,3,DAPI,264
X18_Y10,3,Alexa_488,879
X18_Y10,3,Alexa_568,382
X18_Y10,3,Alexa_647,543
X18_Y10,3,Atto_490LS,904
X18_Y10,4,Atto_425,3276
X18_Y10,4,DAPI,265
X18_Y10,4,Alexa_488,309
X18_Y10,4,Alexa_568,905
X18_Y10,4,Alexa_647,156
X18_Y10,4,Atto_490LS,907
FOV,Round,Channel,Spot Count
X19_Y11,1,Atto_425,2332
X19_Y11,1,DAPI,407
X19_Y11,1,Alexa_488,1167
X19_Y11,1,Alexa_568,797
X19_Y11,1,Alexa_647,1270
X19_Y11,1,Atto_490LS,1474
X19_Y11,2,Atto_425,941
X19_Y11,2,DAPI,391
X19_Y11,2,Alexa_488,583
X19_Y11,2,Alexa_568,968
X19_Y11,2,Alexa_647,818
X19_Y11,2,Atto_490LS,1300
X19_Y11,3,Atto_425,686
X19_Y11,3,DAPI,384
X19_Y11,3,Alexa_488,1209
X19_Y11,3,Alexa_568,423
X19_Y11,3,Alexa_647,655
X19_Y11,3,Atto_490LS,1345
X19_Y11,4,Atto_425,2135
X19_Y11,4,DAPI,342
X19_Y11,4,Alexa_488,525
X19_Y11,4,Alexa_568,1320
X19_Y11,4,Alexa_647,152
X19_Y11,4,Atto_490LS,1309
FOV,Round,Channel,Spot Count
X17_Y3,1,Atto_425,655
X17_Y3,1,DAPI,219
X17_Y3,1,Alexa_488,575
X17_Y3,1,Alexa_568,363
X17_Y3,1,Alexa_647,539
X17_Y3,1,Atto_490LS,690
X17_Y3,2,Atto_425,508
X17_Y3,2,DAPI,247
X17_Y3,2,Alexa_488,377
X17_Y3,2,Alexa_568,427
X17_Y3,2,Alexa_647,1087
X17_Y3,2,Atto_490LS,646
X17_Y3,3,Atto_425,416
X17_Y3,3,DAPI,215
X17_Y3,3,Alexa_488,549
X17_Y3,3,Alexa_568,158
X17_Y3,3,Alexa_647,63
X17_Y3,3,Atto_490LS,615
X17_Y3,4,Atto_425,44
X17_Y3,4,DAPI,202
X17_Y3,4,Alexa_488,174
X17_Y3,4,Alexa_568,570
X17_Y3,4,Alexa_647,114
X17_Y3,4,Atto_490LS,651
